omega[deg],I[au],I_B[au],theta[deg],omega_corr[deg],theta_corr[deg],lambda[ang]
33.6,330,328,16.8,34.040633134777444,17.020316567388722,2.1623904993180227
33.7,329,326,16.85,34.14025489051259,17.070127445256293,2.1679528545485915
33.8,322,325,16.9,34.23987664624772,17.11993832312386,2.173508655682496
33.9,356,323,16.95,34.339498401982866,17.169749200991433,2.1790578859235885
34.0,372,316,17.0,34.43912015771801,17.219560078859004,2.184600528495587
34.1,547,305,17.05,34.53874191345315,17.269370956726576,2.1901365666421224
34.2,606,293,17.1,34.638363669188294,17.319181834594147,2.195665983626795
34.3,585,282,17.15,34.73798542492343,17.368992712461715,2.201188762733218
34.4,367,276,17.2,34.83760718065857,17.418803590329286,2.2067048872650754
34.5,276,276,17.25,34.937228936393716,17.468614468196858,2.2122143405461694
34.6,296,276,17.3,35.03685069212886,17.51842534606443,2.217717105920468
34.7,311,276,17.35,35.136472447864,17.568236223932,2.223213166752159
34.8,328,274,17.4,35.23609420359914,17.61804710179957,2.2287025064256993
34.9,276,268,17.45,35.33571595933428,17.66785797966714,2.234185108345866
35.0,282,264,17.5,35.43533771506942,17.71766885753471,2.2396609559378042
35.1,264,259,17.55,35.534959470804566,17.767479735402283,2.2451300326470793
35.2,261,253,17.6,35.63458122653971,17.817290613269854,2.2505923219397252
35.3,256,247,17.65,35.734202982274844,17.867101491137422,2.2560478073022963
35.4,232,241,17.7,35.83382473800999,17.916912369004994,2.261496472241917
35.5,273,235,17.75,35.93344649374513,17.966723246872565,2.2669383002863293
35.6,248,231,17.8,36.03306824948027,18.016534124740136,2.272373274983946
35.7,247,230,17.85,36.132690005215416,18.066345002607708,2.277801379903897
35.8,230,229,17.9,36.23231176095055,18.116155880475276,2.283222598636083
35.9,245,228,17.95,36.331933516685694,18.165966758342847,2.2886369147912204
36.0,227,222,18.0,36.43155527242084,18.21577763621042,2.294044312000895
36.1,251,213,18.05,36.53117702815598,18.26558851407799,2.2994447739176103
36.2,225,204,18.1,36.63079878389112,18.31539939194556,2.304838284214833
36.3,190,195,18.15,36.73042053962626,18.36521026981313,2.31022482658705
36.4,209,191,18.2,36.830042295361395,18.415021147680697,2.3156043847498107
36.5,211,194,18.25,36.92966405109654,18.46483202554827,2.32097694243978
36.6,224,197,18.3,37.02928580683168,18.51464290341584,2.3263424834147863
36.7,228,200,18.35,37.12890756256682,18.56445378128341,2.331700991453871
36.8,205,201,18.4,37.22852931830196,18.61426465915098,2.337052450357336
36.9,201,201,18.45,37.3281510740371,18.66407553701855,2.3423968439467955
37.0,208,200,18.5,37.427772829772245,18.713886414886122,2.3477341560652234
37.1,200,200,18.55,37.52739458550739,18.763697292753694,2.3530643705770005
37.2,226,198,18.6,37.62701634124253,18.813508170621265,2.358387471367966
37.3,227,194,18.65,37.726638096977666,18.863319048488833,2.363703442345465
37.4,211,189,18.7,37.82625985271281,18.913129926356405,2.3690122674383978
37.5,204,185,18.75,37.92588160844795,18.962940804223976,2.3743139305972676
37.6,204,182,18.8,38.025503364183095,19.012751682091547,2.3796084157942285
37.7,183,181,18.85,38.12512511991824,19.06256255995912,2.384895707023135
37.8,203,180,18.9,38.22474687565337,19.112373437826687,2.390175788299591
37.9,178,179,18.95,38.324368631388516,19.162184315694258,2.395448643660999
38.0,205,180,19.0,38.42399038712366,19.21199519356183,2.400714257166602
38.1,187,184,19.05,38.5236121428588,19.2618060714294,2.405972612897541
38.2,202,188,19.1,38.623233898593945,19.311616949296972,2.411223694956895
38.3,194,192,19.15,38.72285565432908,19.36142782716454,2.416467487469735
38.4,217,192,19.2,38.822477410064224,19.411238705032112,2.42170397458317
38.5,209,188,19.25,38.92209916579937,19.461049582899683,2.426933140466391
38.6,191,185,19.3,39.02172092153451,19.510860460767255,2.432154969310726
38.7,236,181,19.35,39.12134267726965,19.560671338634826,2.437369445329682
38.8,179,180,19.4,39.22096443300479,19.610482216502394,2.4425765527589958
38.9,204,181,19.45,39.32058618873993,19.660293094369965,2.4477762758566812
39.0,188,183,19.5,39.420207944475074,19.710103972237537,2.4529685989030745
39.1,195,184,19.55,39.51982970021022,19.75991485010511,2.458153506200885
39.2,200,186,19.6,39.61945145594536,19.80972572797268,2.4633309820752403
39.3,185,187,19.65,39.71907321168049,19.859536605840244,2.468501010873735
39.4,190,188,19.7,39.81869496741563,19.909347483707815,2.473663576966477
39.5,191,189,19.75,39.918316723150774,19.959158361575387,2.478818664746137
39.6,343,188,19.8,40.01793847888592,20.00896923944296,2.4839662586279907
39.7,404,183,19.85,40.11756023462106,20.05878011731053,2.489106343049972
39.8,342,179,19.9,40.217181990356195,20.108590995178098,2.4942389024727154
39.9,229,174,19.95,40.31680374609134,20.15840187304567,2.4993639213796066
40.0,219,170,20.0,40.41642550182648,20.20821275091324,2.5044813842768257
40.1,172,166,20.05,40.516047257561624,20.258023628780812,2.5095912756933973
40.2,157,163,20.1,40.61566901329677,20.307834506648383,2.5146935801812345
40.3,210,159,20.15,40.7152907690319,20.35764538451595,2.519788282315188
40.4,200,158,20.2,40.814912524767045,20.407456262383523,2.524875366693092
40.5,216,159,20.25,40.91453428050219,20.457267140251094,2.5299548179358102
40.6,179,159,20.3,41.01415603623733,20.507078018118666,2.5350266206872827
40.7,161,161,20.35,41.113777791972474,20.556888895986237,2.5400907596145705
40.8,176,167,20.4,41.21339954770761,20.606699773853805,2.5451472194079066
